lat,lon,alt,date,device,os,version
40.7136878967,-73.9915847778,34.0587806702,2015-04-11 18:37:52,"iPhone6,1",8.1.3,1.1
40.7274360657,-73.9937210083,14.3962717056,2015-04-11 18:48:32,"iPhone6,1",8.1.3,1.1
40.7309951782,-73.9984207153,13.0115795135,2015-04-11 21:39:12,"iPhone6,1",8.1.3,1.1
40.7208099365,-74.0051727295,11.2532176971,2015-04-11 21:45:36,"iPhone6,1",8.1.3,1.1
40.6951408386,-73.9883651733,11.2532176971,2015-04-11 21:54:08,"iPhone6,1",8.1.3,1.1
40.6886787415,-73.9835739136,67.3822174072,2015-04-11 22:00:32,"iPhone6,1",8.1.3,1.1
40.6839447021,-73.9772033691,33,2015-04-11 23:19:28,"iPhone6,1",8.1.3,1.1
40.6877059937,-73.9694519043,35.8434829712,2015-04-11 23:34:24,"iPhone6,1",8.1.3,1.1
40.6933326721,-73.9672851562,33,2015-04-12 14:28:16,"iPhone6,1",8.1.3,1.1
40.6946792603,-73.9550552368,33,2015-04-12 14:45:20,"iPhone6,1",8.1.3,1.1
40.6956291199,-73.9469909668,24.9064731598,2015-04-12 14:53:52,"iPhone6,1",8.1.3,1.1
40.7337265015,-73.9880828857,18.7151565552,2015-04-13 16:59:44,"iPhone6,1",8.1.3,1.1
40.7311210632,-73.9936065674,13,2015-04-13 17:08:16,"iPhone6,1",8.1.3,1.1
40.7225112915,-73.9794387817,14.58963871,2015-04-14 03:18:24,"iPhone6,1",8.1.3,1.1
40.6958007812,-73.9463348389,24.161895752,2015-04-14 04:05:20,"iPhone6,1",8.1.3,1.1
40.7187576294,-74.0002593994,23.2041378021,2015-04-14 15:04:32,"iPhone6,1",8.1.3,1.1
40.7329216003,-73.9979629517,10.945309639,2015-04-14 15:10:56,"iPhone6,1",8.1.3,1.1
40.7297477722,-73.9934539795,14.9860401154,2015-04-14 15:19:28,"iPhone6,1",8.1.3,1.1
40.7304039001,-74.00025177,10.9667415619,2015-04-15 06:17:36,"iPhone6,1",8.1.3,1.1
40.6953697205,-73.9490127563,26.6001529694,2015-04-15 07:30:08,"iPhone6,1",8.1.3,1.1
40.6912460327,-73.9783096313,22.3165035248,2015-04-15 15:47:12,"iPhone6,1",8.1.3,1.1
40.7070388794,-73.9926300049,43.8771629333,2015-04-15 16:04:16,"iPhone6,1",8.1.3,1.1
40.731967926,-73.9954452515,12.1583995819,2015-04-15 16:14:56,"iPhone6,1",8.1.3,1.1
40.7298049927,-74.0006484985,10.6169776917,2015-04-15 22:17:36,"iPhone6,1",8.1.3,1.1
40.7154960632,-73.978263855,10.0829391479,2015-04-15 22:58:08,"iPhone6,1",8.1.3,1.1
40.7086257935,-73.9585037231,13,2015-04-15 23:04:32,"iPhone6,1",8.1.3,1.1
40.7098808289,-73.9683837891,13,2015-04-15 23:17:20,"iPhone6,1",8.1.3,1.1
40.7049484253,-73.9670410156,13,2015-04-16 00:06:24,"iPhone6,1",8.1.3,1.1
40.696269989,-73.9674606323,33,2015-04-16 00:32:00,"iPhone6,1",8.1.3,1.1
40.6888580322,-73.9680862427,41.8819351196,2015-04-16 00:51:12,"iPhone6,1",8.1.3,1.1
40.7011108398,-73.9789886475,42.7213134766,2015-04-16 09:27:28,"iPhone6,1",8.1.3,1.1
40.688621521,-73.9679260254,42.8662986755,2015-04-16 10:27:12,"iPhone6,1",8.1.3,1.1
40.7291679382,-74.0003128052,41.523891449,2015-04-16 14:36:48,"iPhone6,1",8.1.3,1.1
40.7318153381,-73.9951477051,10.6448221207,2015-04-16 14:47:28,"iPhone6,1",8.1.3,1.1
40.7284965515,-73.9996261597,13.2129087448,2015-04-17 06:24:00,"iPhone6,1",8.1.3,1.1
40.7227249146,-73.9940414429,9.03576755524,2015-04-17 08:34:08,"iPhone6,1",8.1.3,1.1
40.7055969238,-73.9499969482,12.3067874908,2015-04-17 08:44:48,"iPhone6,1",8.1.3,1.1
40.6950836182,-73.9460983276,23.2838840485,2015-04-17 08:49:04,"iPhone6,1",8.1.3,1.1
40.6950531006,-73.9467697144,24.5962753296,2015-04-17 19:29:04,"iPhone6,1",8.1.3,1.1
40.6878890991,-73.9677963257,31.2761688232,2015-04-17 19:54:40,"iPhone6,1",8.1.3,1.1
40.6896743774,-73.9732666016,31.575925827,2015-04-17 21:17:52,"iPhone6,1",8.1.3,1.1
40.6931495667,-73.9689331055,37.6387023926,2015-04-18 01:29:36,"iPhone6,1",8.1.3,1.1
40.6954879761,-73.9463119507,23.2874336243,2015-04-18 01:44:32,"iPhone6,1",8.1.3,1.1
40.6886978149,-73.9865570068,22.2349205017,2015-04-18 14:47:28,"iPhone6,1",8.1.3,1.1
40.7026176453,-73.9924621582,22.2349205017,2015-04-18 15:00:16,"iPhone6,1",8.1.3,1.1
40.7330436707,-73.9982147217,11.0155887604,2015-04-18 15:06:40,"iPhone6,1",8.1.3,1.1
40.7295722961,-73.993522644,16.8580684662,2015-04-18 15:25:52,"iPhone6,1",8.1.3,1.1
40.7249336243,-73.9922485352,13,2015-04-18 21:49:52,"iPhone6,1",8.1.3,1.1
40.7294197083,-73.9902191162,15.6684617996,2015-04-18 23:53:36,"iPhone6,1",8.1.3,1.1
40.7324142456,-73.9990386963,13.4332399368,2015-04-19 00:38:24,"iPhone6,1",8.1.3,1.1
40.7175559998,-73.9953231812,10.906039238,2015-04-19 01:01:52,"iPhone6,1",8.1.3,1.1
40.6950454712,-73.9467086792,24.5507659912,2015-04-19 01:21:04,"iPhone6,1",8.1.3,1.1
40.6857528687,-73.9920272827,25.5519180298,2015-04-19 23:38:40,"iPhone6,1",8.1.3,1.1
40.6870994568,-73.9755783081,31.7398433685,2015-04-20 03:18:24,"iPhone6,1",8.1.3,1.1
40.6949996948,-73.946723938,24.075920105,2015-04-20 03:31:12,"iPhone6,1",8.1.3,1.1
40.71534729,-74.0033493042,29.0616874695,2015-04-20 15:25:52,"iPhone6,1",8.1.3,1.1
40.7330360413,-73.9999771118,9.57040786743,2015-04-20 15:32:16,"iPhone6,1",8.1.3,1.1
40.7302932739,-73.9934005737,13.8123588562,2015-04-20 15:49:20,"iPhone6,1",8.1.3,1.1
40.7218971252,-73.9963150024,14.4466247559,2015-04-20 23:47:12,"iPhone6,1",8.1.3,1.1
40.728553772,-73.9941864014,14.9217214584,2015-04-21 00:25:36,"iPhone6,1",8.1.3,1.1
40.7322273254,-74.0004959106,12.7026090622,2015-04-21 01:44:32,"iPhone6,1",8.1.3,1.1
40.6948471069,-73.9885177612,12.7026090622,2015-04-21 01:59:28,"iPhone6,1",8.1.3,1.1
40.6953392029,-73.9487228394,28,2015-04-21 02:10:08,"iPhone6,1",8.1.3,1.1
40.7039299011,-73.975151062,23.9327716827,2015-04-21 14:11:12,"iPhone6,1",8.1.3,1.1
40.7315063477,-73.9954299927,13,2015-04-21 14:19:44,"iPhone6,1",8.1.3,1.1
40.6962509155,-73.989402771,9.68982028961,2015-04-22 02:05:52,"iPhone6,1",8.1.3,1.1
40.6948165894,-73.9464569092,23.0506954193,2015-04-22 02:29:20,"iPhone6,1",8.1.3,1.1
40.7329177856,-73.9979934692,13,2015-04-22 14:00:32,"iPhone6,1",8.1.3,1.1
40.7298202515,-73.9934387207,13.8046693802,2015-04-22 14:36:48,"iPhone6,1",8.1.3,1.1
40.7321357727,-74.0006561279,9,2015-04-22 23:34:24,"iPhone6,1",8.1.3,1.1
40.6877937317,-73.9678497314,42.3975334167,2015-04-23 00:00:00,"iPhone6,1",8.1.3,1.1
40.7012825012,-73.9791412354,41.596824646,2015-04-23 05:32:48,"iPhone6,1",8.1.3,1.1
40.6887588501,-73.9678955078,41.5577850342,2015-04-23 05:41:20,"iPhone6,1",8.1.3,1.1
40.7272758484,-73.9987869263,41.5991325378,2015-04-23 13:56:16,"iPhone6,1",8.1.3,1.1
40.7298431396,-73.9933929443,13.1292972565,2015-04-23 14:24:00,"iPhone6,1",8.1.3,1.1
40.7310142517,-73.9869689941,13.4203357697,2015-04-24 03:33:20,"iPhone6,1",8.1.3,1.1
40.7291069031,-73.981338501,10.811671257,2015-04-24 03:39:44,"iPhone6,1",8.1.3,1.1
40.714630127,-73.9765472412,9.62861442566,2015-04-24 05:52:00,"iPhone6,1",8.1.3,1.1
40.6950492859,-73.9461975098,21.7862739563,2015-04-24 06:06:56,"iPhone6,1",8.1.3,1.1
40.7287635803,-73.9974136353,28,2015-04-24 16:38:24,"iPhone6,1",8.1.3,1.1
40.733341217,-73.998916626,13,2015-04-24 23:45:04,"iPhone6,1",8.1.3,1.1
40.7179107666,-74.007850647,12.7994155884,2015-04-24 23:53:36,"iPhone6,1",8.1.3,1.1
40.6891899109,-73.985824585,33,2015-04-25 00:06:24,"iPhone6,1",8.1.3,1.1
40.6895561218,-73.9705352783,33,2015-04-25 00:34:08,"iPhone6,1",8.1.3,1.1
40.6933441162,-73.9672393799,34.2832679749,2015-04-25 15:13:04,"iPhone6,1",8.1.3,1.1
40.6949272156,-73.9524917603,33.8950119019,2015-04-25 15:21:36,"iPhone6,1",8.1.3,1.1
40.6949577332,-73.9465560913,27.9277553558,2015-04-25 16:19:12,"iPhone6,1",8.1.3,1.1
40.6926498413,-73.9494400024,0,2015-04-25 18:35:44,"iPhone6,1",8.1.3,1.1
40.699546814,-73.9535064697,31.4448776245,2015-04-26 15:34:24,"iPhone6,1",8.1.3,1.1
40.7037010193,-73.9605026245,21.8975563049,2015-04-26 15:45:04,"iPhone6,1",8.1.3,1.1
40.7072639465,-73.9641952515,16.0689315796,2015-04-26 15:53:36,"iPhone6,1",8.1.3,1.1
40.7130775452,-73.9621124268,13,2015-04-26 16:04:16,"iPhone6,1",8.1.3,1.1
40.7141532898,-73.9538116455,13,2015-04-26 16:21:20,"iPhone6,1",8.1.3,1.1
40.7115783691,-73.9489593506,17.0279769897,2015-04-26 16:34:08,"iPhone6,1",8.1.3,1.1
40.7089118958,-73.9592437744,13,2015-04-26 23:25:52,"iPhone6,1",8.1.3,1.1
40.704334259,-73.9594421387,13,2015-04-26 23:32:16,"iPhone6,1",8.1.3,1.1
40.6985015869,-73.9531707764,33,2015-04-26 23:45:04,"iPhone6,1",8.1.3,1.1
40.6954498291,-73.9485855103,28,2015-04-26 23:55:44,"iPhone6,1",8.1.3,1.1
40.6949272156,-73.9467468262,24.7397823334,2015-04-27 01:40:16,"iPhone6,1",8.1.3,1.1
40.7087593079,-73.9619445801,40.7466125488,2015-04-27 13:26:24,"iPhone6,1",8.1.3,1.1
40.7352027893,-73.9899673462,40.7466125488,2015-04-27 13:32:48,"iPhone6,1",8.1.3,1.1
40.7202415466,-74.0032501221,40.7466125488,2015-04-28 05:15:44,"iPhone6,1",8.1.3,1.1
40.6868782043,-73.9902191162,40.7466125488,2015-04-28 05:32:48,"iPhone6,1",8.1.3,1.1
40.6980857849,-73.9517211914,40.7466125488,2015-04-28 06:13:20,"iPhone6,1",8.1.3,1.1
40.6954154968,-73.9468460083,46.0655822754,2015-04-28 06:32:32,"iPhone6,1",8.1.3,1.1
40.7077598572,-73.9776687622,26.1430664062,2015-04-28 14:51:44,"iPhone6,1",8.1.3,1.1
40.7297401428,-73.9951248169,26.1430664062,2015-04-28 15:02:24,"iPhone6,1",8.1.3,1.1
